STA_SEQ,SampleYear,MaxOfFishPer100M,YearGrp
15505,2010,126,G3
14720,2010,60,G3
14819,2010,44,G3
16299,2010,10.37735849,G3
16661,2010,4,G3
18270,2010,21.33333333,G3
16330,2010,26.66666667,G3
17850,2010,6.666666667,G3
17852,2010,9.615384615,G3
14227,2011,5.333333333,G3
15516,2011,42.66666667,G3
14538,2011,82,G3
15024,2011,22.65625,G3
14880,2011,36,G3
15013,2011,0.666666667,G3
14209,2011,0,G3
15796,2011,8.843537415,G3
14720,2011,37.62376238,G3
15509,2011,4,G3
14842,2011,7.333333333,G3
14453,2011,0,G3
14605,2011,7.5,G3
14439,2011,12.31884058,G3
14857,2011,23.91304348,G3
15577,2011,9,G3
15100,2011,25,G3
14740,2011,36.60714286,G3
15315,2011,10.11235955,G3
15316,2011,22,G3
15240,2011,22.66666667,G3
14813,2011,13.5,G3
15244,2011,3.2,G3
14741,2011,17.1875,G3
14470,2011,10.13513514,G3
15529,2011,3.80952381,G3
14478,2011,11.17647059,G3
15499,2011,73.14285714,G3
14355,2011,2.051282051,G3
16191,2011,35.86206897,G3
16836,2011,14.73684211,G3
16121,2011,9.6,G3
16688,2011,35.71428571,G3
16110,2011,40.38461538,G3
16124,2011,10.37037037,G3
16922,2011,15.55555556,G3
16127,2011,16.34615385,G3
16819,2011,105.7971014,G3
17167,2011,4.666666667,G3
16111,2011,1.694915254,G3
16192,2011,117.0940171,G3
16431,2011,1.142857143,G3
16114,2011,26.66666667,G3
16913,2011,5.333333333,G3
17151,2011,0,G3
16527,2011,17.85714286,G3
16747,2011,4.6875,G3
15998,2011,7,G3
16735,2011,0,G3
16532,2011,28,G3
17148,2011,73.01587302,G3
16078,2011,24,G3
16831,2011,2,G3
16525,2011,4.6875,G3
16512,2011,10,G3
16793,2011,50,G3
16387,2011,8.860759494,G3
16271,2011,177.3333333,G3
14504,2012,13.33333333,G3
15579,2012,8.235294118,G3
17088,2012,48,G3
15570,2012,56,G3
17300,2012,32,G3
17271,2012,0,G3
17267,2012,26,G3
16387,2012,30.52631579,G3
17186,2012,6,G3
16385,2012,82,G3
16758,2012,60,G3
16383,2012,24.44444444,G3
16331,2012,18.75,G3
15512,2012,66.4,G3
16373,2012,205,G3
16377,2012,30.55555556,G3
16258,2012,16,G3
15991,2012,45,G3
14402,2012,12.43243243,G3
15014,2012,24.28571429,G3
15172,2012,10.41666667,G3
15783,2012,66.66666667,G3
16111,2012,2.727272727,G3
15046,2012,168,G3
16089,2012,4,G3
18270,2012,2,G3
16122,2012,46,G3
15701,2012,9.259259259,G3
14263,2012,33.84615385,G3
16316,2012,36,G3
17002,2012,57.31707317,G3
14774,2012,188,G3
16535,2012,61,G3
16080,2012,49.09090909,G3
15013,2013,1.333333333,G3
16761,2013,65,G3
15509,2013,6,G3
16730,2013,40,G3
16697,2013,41.81818182,G3
15193,2013,28,G3
15505,2013,52.7027027,G3
17167,2013,7.333333333,G3
16583,2013,7.272727273,G3
16876,2013,0,G3
16528,2013,101,G3
16623,2013,27.27272727,G3
16928,2013,0,G3
15499,2013,95.67567568,G3
16594,2013,25,G3
14863,2013,44.85981308,G3
15315,2013,10,G3
16645,2013,10,G3
16110,2013,29.33333333,G3
15839,2013,0,G3
16114,2013,18.24324324,G3
18735,2013,9,G3
15796,2013,8.536585366,G3
16127,2013,74.25742574,G3
14439,2013,0.333333333,G3
16124,2013,7.920792079,G3
18002,2013,9.561752988,G3
16132,2013,0,G3
14741,2013,7.291666667,G3
18625,2013,25,G3
18590,2013,25,G3
14478,2013,45,G3
14470,2013,1.379310345,G3
18468,2013,19,G3
14484,2013,72.79236277,G3
18782,2013,45,G3
18736,2013,31,G3
14740,2013,40.78212291,G3
16138,2013,6,G3
14720,2013,15.23809524,G3
16786,2013,15.88785047,G3
16079,2013,40.19607843,G3
16276,2013,0,G3
16135,2013,116.3934426,G3
18791,2013,43,G3
17201,2013,0,G3
14209,2014,0,G3
18468,2014,35.29411765,G3
18590,2014,17,G3
14212,2014,4.6875,G3
16819,2014,63.55140187,G3
16836,2014,19,G3
16786,2014,32.98969072,G3
14263,2014,11.45038168,G3
18736,2014,23,G3
14294,2014,13,G3
18735,2014,21,G3
16852,2014,3.293084523,G3
17026,2014,40,G3
17169,2014,33.01886792,G3
17186,2014,2.912621359,G3
17167,2014,8.666666667,G3
14602,2014,7.586206897,G3
14593,2014,0,G3
17403,2014,16,G3
17462,2014,2.808988764,G3
17148,2014,169.1358025,G3
14592,2014,2.18579235,G3
17125,2014,2,G3
14866,2014,5.389221557,G3
17796,2014,231.4814815,G3
15007,2014,40,G3
17850,2014,29.05982906,G3
17852,2014,25.49019608,G3
14484,2014,60.41666667,G3
14863,2014,8.571428571,G3
17013,2014,0,G3
14478,2014,32,G3
16992,2014,33.33333333,G3
17183,2014,0,G3
16944,2014,0,G3
15003,2014,14.86697966,G3
17028,2014,96,G3
