DrainID,Strahler,HydroID,StrMi,SqMi,0,1,2,3,4,5,6,Sum,Str_Drain
103005762,2,103005762,3.07,1.31,378,12,146,6,0,85,44,671,14450
103005763,1,103005763,0.47,0.16,63,15,34,10,0,0,63,185,14450
103005769,2,103005769,0.79,0.295043892,0,0,9,1,0,13,0,23,14450
103005770,2,103005770,8.13255096,3.5548166232,0,0,0,0,0,6,0,6,14450
103005771,1,103005771,0.49,0.160742511,0,0,2,0,0,0,0,2,14450
103005773,1,103005773,0.27,0.03,15,0,9,0,0,0,50,74,14450
103005774,2,103005774,1.58,0.775520405,4,0,8,0,0,0,62,74,14450
103005778,2,103005778,1.16,0.555374462,37,0,39,2,0,91,0,169,14450
103005781,1,103005781,0.53,0.12,0,0,7,0,0,0,93,100,14450
103005783,1,103005783,0.03,0.07,14,9,37,0,0,0,142,202,14450
103005787,1,103005787,0.2,0.125455828,34,2,72,31,13,1,0,153,14450
103005788,1,103005788,0.07,0.075455828,9,6,0,0,0,0,0,15,14450
103005792,2,103005792,8.24255096,3.5748166232,21,0,9,0,0,45,0,75,14450
103005797,1,103005797,0.57,0.126392042,0,0,5,0,0,0,14,19,14450
103005801,1,103005801,0.579725472,0.132525827,7,0,9,0,0,0,1,17,14450
103005807,2,103005807,1.23,0.585374462,88,2,13,0,0,2,0,105,14450
103005810,2,103005810,8.26255096,3.5773024172,0,0,0,0,0,7,0,7,14450
103005816,1,103005816,0.619725472,0.142525827,7,0,18,0,0,0,9,34,14450
103005821,2,103005821,3.705855523,2.0501523907,240,0,252,19,0,0,1120,1631,14450
103005824,1,103005824,0.37,0.12,65,0,10,0,0,28,0,103,14450
103005830,1,103005830,0.659725472,0.151758776,4,0,11,0,0,0,12,27,14450
103005831,1,103005831,0.3,0.09,56,5,35,0,0,16,0,112,14450
103005834,2,103005834,8.33255096,3.5832425032,11,0,0,0,0,6,0,17,14450
103005837,2,103005837,2.02,0.855520405,8,0,3,0,0,0,139,150,14450
103005841,1,103005841,0.46,0.13,4,0,3,0,0,31,0,38,14450
103005842,2,103005842,8.35255096,3.5927014502,8,0,0,0,0,20,0,28,14450
103005844,1,103005844,0.16,0.24,397,21,190,18,0,0,68,694,14450
103005847,2,103005847,8.819620481,3.7227983002,1,0,0,0,0,0,0,1,14450
103005848,1,103005848,0.709725472,0.161758776,4,0,14,0,0,0,15,33,14450
103005851,2,103005851,3.785855523,2.0701523907,11,0,11,0,0,0,41,63,14450
103005852,1,103005852,0.12,0.05,72,0,60,0,26,0,0,158,14450
103005853,2,103005853,3.35,1.35,27,0,33,0,0,78,0,138,14450
103005857,2,103005857,8.839620481,3.7249935402,5,0,0,0,0,0,0,5,14450
103005860,1,103005860,0.759725472,0.171758776,2,0,8,0,0,0,30,40,14450
103005862,2,103005862,2.07,0.865520405,7,0,1,0,0,0,41,49,14450
103005866,3,103005866,4.198513699,1.356721338,1,0,0,0,0,0,8,9,14450
103005872,1,103005872,0.05,0.01,0,0,5,0,0,0,25,30,14450
103005887,1,103005887,0.909725472,0.251758776,77,40,80,0,0,0,30,227,14450
103005903,1,103005903,0.15,0.02,0,0,0,0,0,0,33,33,14450
103005910,1,103005910,0.47,0.27,17,0,21,0,0,0,59,97,14450
103005911,2,103005911,3.995855523,2.1301523907,52,0,40,0,0,0,90,182,14450
103005918,2,103005918,1.59,0.775374462,246,1,117,61,102,0,0,527,14450
103005922,2,103005922,9.059620481,3.8149935402,133,0,44,0,0,76,0,253,14450
