STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
14593,Whetstone Brook,4,35.46939,14.169421,7,0,40787,68210,0,1.672346581,9.176761682,0.669982204,0,0,0,0,0.197353267,1,1,3,1,6,2,1,0.313
16928,Obwebetuck Brook,3,8.472562,3.145939,0,0,9057,7959,0,0.878767804,9.145296514,0.107590509,0,0,0,0,0,1,1,1,1,4,1,1,0.063
16138,Wepawaug River,3,13.742125,5.836116,0,0,16791,62972,0,3.750342445,9.09774583,0.227230174,0,0,0,0,0,2,1,1,1,5,1,1,0.048
15990,Spice Brook,2,4.24763,2.184301,0,0,6289,20109,0,3.197487677,8.990408064,0.068498013,0,0,0,0,0,2,1,1,1,5,1,1,0.22
15543,Pease Brook,4,33.720706,11.519057,0,0.72,33141,29819,0,0.899761625,8.739798664,0.508394169,1.11384,0,2.190898456,0,0,1,3,1,1,6,2,1,0.055
16565,CEMETERY BROOK,2,1.663167,0.837937,0,0,2415,770,0,0.31884058,8.695484666,0.021047146,0,0,0,0,0,1,1,1,1,4,1,1,0.282
17013,Rose Brook,1,1.220298,0.712874,0,0,2050,2099,0,1.023902439,8.500135857,0.017099941,0,0,0,0,0,1,1,1,1,4,1,1,0.372
16298,Stony Brook,4,22.685535,6.721683,1,2.2,19356,55882,0,2.887063443,8.451962423,0.259925923,3.4034,0,13.09373057,0,0.044080953,2,3,2,1,8,2,1,0.072
16677,FRAZER BROOK (Fraser Brook),3,4.39,1.145907,0,0,3464,2189,0,0.631928406,8.270993835,0.030011456,0,0,0,0,0,1,1,1,1,4,1,1,0.09
15783,Eagleville Brook,3,5.837918,2.304063,0,0,6619,81634,3,12.33328297,8.213420017,0.069831303,0,4.641,0,0,0,3,1,1,1,6,2,1,0.119
16373,East Mountain Brook,3,7.47,3,0,0,8833,8601,0,0.973734858,8.17217648,0.095966009,0,0,0,0,0,1,1,1,1,4,1,1,0.047
17188,WHETSTONE BROOK,4,29.781512,12.299622,6,0,35414,50008,0,1.412096911,7.863378426,0.521982489,0,0,0,0,0.201467273,1,1,3,1,6,2,1,0.084
15007,Sawmill Brook,3,11.654001,3.657981,0,0,10529,18770,0,1.782695413,7.836025064,0.119532913,0,0,0,0,0,1,1,1,1,4,1,1,0.285
