STA_SEQ,locationNa,CountOfSam,MaxOfNomin,ylat,xlong,HydroID,NextDown,SqMi,CFPct_1985,CFPct_1990,CFPct_1995,CFPct_2002,CFPct_2006,CFPct_2010,CFPct_2015,DevPct_1985,DevPct_1990,DevPct_1995,DevPct_2002,DevPct_2006,DevPct_2010,DevPct_2015,CFPctDiff1985_1990,CFPctDiff1985_1995,CFPctDiff1985_2002,CFPctDiff1985_2006,CFPctDiff1985_2010,CFPctDiff1985_2015,DevPctDiff1985_1990,DevPctDiff1985_1995,DevPctDiff1985_2002,DevPctDiff1985_2006,DevPctDiff1985_2010,DevPctDiff1985_2015
14863,Rocky Brook,2,1,42.0134,-71.802,201484795,2820784759,5.1818,0.86728972,0.844167532,0.843959848,0.836413984,0.827206646,0.820906888,0.825406715,0.017791623,0.019314642,0.02083766,0.020976116,0.022499135,0.022499135,0.022983731,-0.023122188,-0.023329872,-0.030875736,-0.040083074,-0.046382832,-0.041883005,0.001523019,0.003046037,0.003184493,0.004707512,0.004707512,0.005192108
16416,Delphi Brook,2,1,42.0211,-72.2517,201486194,1813374466,3.51488,0.690330477,0.679416565,0.674316605,0.669114647,0.667074663,0.666156671,0.646572827,0.050183599,0.053549572,0.054161567,0.054875561,0.055487556,0.055487556,0.055487556,-0.010913912,-0.016013872,-0.02121583,-0.023255814,-0.024173806,-0.04375765,0.003365973,0.003977968,0.004691962,0.005303957,0.005303957,0.005303957
14866,Stickney Hill Brook,4,1,41.9833,-72.2179,201486633,604459931,2.223601,0.684635249,0.662685604,0.657520981,0.663008393,0.653808909,0.65203357,0.654293092,0.045513234,0.045997418,0.046320207,0.04680439,0.047449968,0.047449968,0.047449968,-0.021949645,-0.027114268,-0.021626856,-0.03082634,-0.032601679,-0.030342157,0.000484184,0.000806973,0.001291156,0.001936734,0.001936734,0.001936734
14606,Middle River,1,0.5,41.9659,-72.3278,201487213,5440138403,12.787356,0.578638761,0.529093256,0.496352822,0.498485019,0.489900123,0.485439345,0.485579621,0.064779486,0.077264056,0.080658736,0.08643811,0.08767254,0.087812816,0.087840871,-0.049545505,-0.082285939,-0.080153742,-0.088738638,-0.093199416,-0.09305914,0.01248457,0.01587925,0.021658624,0.022893054,0.02303333,0.023061385
16288,Branch Brook,2,1,41.9199,-72.1256,201487443,2216358795,5.068518,0.694081041,0.688777314,0.690191641,0.675058341,0.67838201,0.675411923,0.673502581,0.041015487,0.041651934,0.042429814,0.042571247,0.042571247,0.042571247,0.043844141,-0.005303727,-0.0038894,-0.0190227,-0.015699031,-0.018669118,-0.02057846,0.000636447,0.001414327,0.00155576,0.00155576,0.00155576,0.002828654
16106,Branch Brook,1,1,41.9108,-72.1245,201487443,2216358795,5.068518,0.694081041,0.688777314,0.690191641,0.675058341,0.67838201,0.675411923,0.673502581,0.041015487,0.041651934,0.042429814,0.042571247,0.042571247,0.042571247,0.043844141,-0.005303727,-0.0038894,-0.0190227,-0.015699031,-0.018669118,-0.02057846,0.000636447,0.001414327,0.00155576,0.00155576,0.00155576,0.002828654
15003,Wappoquia Brook,1,0.5,41.8751,-71.9658,201487666,1410412752,4.542068,0.206100838,0.196143512,0.192824403,0.183341236,0.178046468,0.177572309,0.173146831,0.096254149,0.099178125,0.101469891,0.108029082,0.108740319,0.108977398,0.111980401,-0.009957326,-0.013276435,-0.022759602,-0.02805437,-0.028528529,-0.032954007,0.002923976,0.005215742,0.011774933,0.01248617,0.012723249,0.015726252
15520,Bonemill Brook,2,1,41.925,-72.3162,201487754,1410414095,2.585687,0.745318352,0.688028853,0.624913303,0.548481065,0.539464558,0.529615758,0.525454293,0.029130254,0.030656124,0.038146761,0.054099043,0.055902344,0.057705646,0.057705646,-0.057289499,-0.120405049,-0.196837287,-0.205853794,-0.215702594,-0.219864059,0.00152587,0.009016507,0.024968789,0.02677209,0.028575392,0.028575392
14599,Mashamoquet Brook,2,0.905405405,41.8499,-71.9359,201487804,9872897471,28.283417,0.437161519,0.427103811,0.420483227,0.408776714,0.402600038,0.398909252,0.402879067,0.064265331,0.067030249,0.068146363,0.070835183,0.072154227,0.072217642,0.073168876,-0.010057708,-0.016678292,-0.028384805,-0.034561481,-0.038252267,-0.034282452,0.002764918,0.003881032,0.006569852,0.007888896,0.007952311,0.008903545
14589,Still River,1,1,41.8716,-72.0877,201487997,11887737850,32.773358,0.461276624,0.449904779,0.440196572,0.430028676,0.425836745,0.421754263,0.423155222,0.075498544,0.078475582,0.079712366,0.082284438,0.083433662,0.083751067,0.084593831,-0.011371845,-0.021080052,-0.031247948,-0.035439879,-0.039522361,-0.038121402,0.002977038,0.004213822,0.006785894,0.007935118,0.008252523,0.009095287
16387,Hurricane Brook,2,1,42.033,-72.9207,201487966,604464029,1.815646,0.62556807,0.625172891,0.62892709,0.610353685,0.629322268,0.597510373,0.591582691,0.076071923,0.077455048,0.077455048,0.077455048,0.078245406,0.078245406,0.078245406,-0.000395179,0.00335902,-0.015214385,0.003754198,-0.028057697,-0.033985379,0.001383125,0.001383125,0.001383125,0.002173483,0.002173483,0.002173483
14997,East Branch Salmon Brook,2,1,42.0135,-72.8435,201487925,1410414841,5.043497,0.562255564,0.528123444,0.521652563,0.513546185,0.510559625,0.503875418,0.496551234,0.058095712,0.066770959,0.067908697,0.068904217,0.071819669,0.07274408,0.072886297,-0.03413212,-0.040603001,-0.048709379,-0.051695939,-0.058380146,-0.06570433,0.008675247,0.009812985,0.010808505,0.013723957,0.014648368,0.014790585
