HydroID,NextDown,SqMi,CFcount,CF_1985,CF_1990,CF_1995,CF_2002,CF_2006,CF_2015,CF_2010
201491729,201491995,0.452087,1265,0.309090909,0.308300395,0.306719368,0.298814229,0.301185771,0.308300395,0.301185771
201492638,201492736,0.45313,1265,0.041106719,0.016600791,0.01027668,0.016600791,0.016600791,0.016600791,0.016600791
201496243,201496254,0.452782,1265,0.538339921,0.523320158,0.444268775,0.50513834,0.494071146,0.50513834,0.50513834
201489108,201489120,0.452782,1266,0.352290679,0.334123223,0.241706161,0.210110585,0.21563981,0.212480253,0.214060032
201487885,201487995,0.453825,1267,0.022888713,0.022888713,0.020520916,0.010260458,0.010260458,0.010260458,0.010260458
201488562,201488787,0.45591,1267,0.460931334,0.437253354,0.404893449,0.420678769,0.417521705,0.416732439,0.411996843
201489460,201489417,0.454519,1267,0,0,0,0,0,0,0
201492629,201492685,0.455909,1267,0.399368587,0.397790055,0.276243094,0.258879242,0.237569061,0.212312549,0.235990529
201484674,201484403,0.454867,1268,0.522870662,0.512618297,0.514984227,0.522082019,0.522082019,0.522082019,0.522082019
201489528,201489472,0.455562,1268,0.352523659,0.334384858,0.334384858,0.307570978,0.31466877,0.275236593,0.309148265
201491521,201491589,0.454172,1268,0.449526814,0.449526814,0.442429022,0.449526814,0.449526814,0.449526814,0.449526814
201494439,201494493,0.454172,1268,0.320977918,0.320189274,0.305993691,0.30126183,0.300473186,0.302839117,0.300473186
201483670,201483642,0.453477,1269,0.390858944,0.348305753,0.314420804,0.319148936,0.307328605,0.315208826,0.294720252
201488659,201488611,0.45313,1269,0.938534279,0.936958235,0.936958235,0.938534279,0.938534279,0.936170213,0.935382191
201491866,201491996,0.456605,1269,0.541371158,0.491725768,0.406619385,0.446020489,0.300236407,0.326241135,0.32072498
201493970,201493909,0.455214,1269,0.188337273,0.183609141,0.187549251,0.188337273,0.183609141,0.183609141,0.184397163
201487245,201487430,0.45452,1270,0,0,0,0,0,0,0
